SL,User Name,Rating,Review,Medical Name,Resource_Link
1,MM Opel,5,"Chittagong Medical College (CMC) is situated in the port city of Chittagong, Bangladesh and is the oldest and largest medical college in the south-eastern part of the country. Maiden Principal Professor Altaf Uddin Ahmed, Minister of Health and Social Welfare (East Pakistan) Dhirendranath Datta, Sheikh Mujibur Rahman, Prime Minister Huseyn Shaheed Suhrawardy, District Magistrate MA Rashid, Police Super, Central Health Minister Zahirudddin was present during the inauguration ceremony of Chittagong Medical College, 20 September 1957. This hospital still is the last hope for most of people of Chittagong division who cannot afford medical care from private clinics and hospitals.Hope,someday it will provide medical services as like any other international hospitals.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
2,NEJAM UDDIN,5,This Medical is the oldest institution in chittagong city.It contributes significantly in health sector of chittagong Territory specially for the poor people who haven't sufficient money to take health facility. This hospital almost gives free treatment for patient.Moreover it is also medical college....Every year a lot of students complete their medical degree & contribute in health sector.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
3,Hridoy Nandi,5,"Chittagong Medical College Hospital was established at the present site in 1960 with only 120 beds and the outpatient services. At that time the young hospital housed only the Departments of Surgery and Gynecology and Obstetrics. Chittagong Hospital Housed the department of Medicine and allied specialties still 1969 and thereafter it remained affiliated with Chittagong Medical College Hospital as one of its teaching hospitals.] Construction of the present purpose-built six-storied CMCH was completed in 1969, which now accommodates all the clinical Departments including all their subspecialties. The hospital, which had a capacity of 500 beds initially, gradually increased its strength to 750 and finally to 1313. It runs outpatient departments in various specialties The independent turnover in 1999 was about 50,000. Over 18,000 surgical operations were performed that year. As years passed, new treatment facilities kept being added and at present a nuclear medicine Centre for diagnostic and therapeutic purposes, a coronary care unit, an endoscopy unit, a kidney dialyzing unit, a Model Family Planning Centre, a Centre for Extended Program for Immunisation (EPI) are among the many facilities available to the in- and outpatients..",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
4,Sumon Rahman,4,"One of the most important and old medical college hospital in Bangladesh that's providing very good service with a lots of different types of department. 24 hours emergency service is given here by a lot of Doctors with their medical assistant,sisters, ward boys & a lots of other staffs. Every kind of investigation is available here in low cost ( The rate is fixed by Government). Different types of operations is also available here. Postgraduate student is taking their training from this medical college hospital under BSMMU, Dhaka",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
5,Chowdhury Ripan,3," can say, Not a great service you can get due to rush of incoming & existing patients. Authority can administer a bit more so that minimum standard of service can be ensured. You have to give tips to fourth class workers at every point immediately after you enter at emergency.
Doctors are helpful, but not others.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
6,A H Edus,3,"Not bad ..
But Something big happenings is going on here ..
so many brokers are here who are want your money..Every employee want your money to doing work of them ..
I think management should be checkout condition of employees..",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
7,Fahima Alam Rumpa,1,"It was my Alma mater. And I am truly ashamed that they don't even have a functioning ECG machine in the emergency room, let alone the process of doing any kind of life saving emergency treatment procedures in THAT 'ER' aka emergency department. Such a shame.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
8,Md. Nesar Uddin,5,Great Medical in Chattagram.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
9,Mohammad Taslim,5,"a year ago
One of the biggest & busy government medical college and hospital of Bangladesh, Lots of faculty of medical study is available here. For MBBS & MDS study this medical college is first choice for students. In outdoor you get treatment only by 10 BDT.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
10,Mizu,3,"The efforts given by the doctors are substantially undermined by the lower-grade employees of the hospital. The brokers around the hospital are a problem. All of them hinder the way of proper treatment for the general public. There are a lot of issues with this hospital that need to be addressed as soon as possible. This problems are more severe in the current COVID-19 situation. People are harassed in the name of treatment here. Yet they choose to come here, because this is often the last resort for them. Even when everyone turns them away, CMCH treats them. But it is hindered by corrupt employees of the very hospital.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
